method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0,reward_type
naive,512,8,350,4.203464508056641,5.230863179927587,-1.0273986718709462,1.0273986718709462,0.19641092426454346,1.0555480309621843,0.538330078125,-1.5,sigmoid
prox,512,8,350,5.373592853546143,5.230863179927587,0.1427296736185557,0.1427296736185557,0.0272860651691776,0.020371759731259438,0.538330078125,-1.5,sigmoid
ipw,512,8,350,4.733417987823486,5.230863179927587,-0.49744519210410054,0.49744519210410054,0.0950981080929337,0.24745171914748548,0.538330078125,-1.5,sigmoid
impute,512,8,350,1.8016166687011719,5.230863179927587,-3.429246511226415,3.429246511226415,0.6555794700166269,11.75973163475854,0.538330078125,-1.5,sigmoid
scope,512,8,350,3.7177718731145446,5.230863179927587,-1.5130913068130423,1.5130913068130423,0.2892622603128359,2.2894453027532,0.538330078125,-1.5,sigmoid
naive,512,8,351,4.136953830718994,5.248298956005842,-1.1113451252868476,1.1113451252868476,0.21175339564357137,1.235087987498839,0.539794921875,-1.5,sigmoid
prox,512,8,351,5.133013725280762,5.248298956005842,-0.11528523072508001,0.11528523072508001,0.021966208802407194,0.013290684423334932,0.539794921875,-1.5,sigmoid
ipw,512,8,351,4.147677421569824,5.248298956005842,-1.1006215344360175,1.1006215344360175,0.20971014487971032,1.2113677620642938,0.539794921875,-1.5,sigmoid
impute,512,8,351,2.0355043411254883,5.248298956005842,-3.2127946148803534,3.2127946148803534,0.6121592237431182,10.3220492374042,0.539794921875,-1.5,sigmoid
scope,512,8,351,4.989009898985894,5.248298956005842,-0.25928905701994776,0.25928905701994776,0.049404399252682196,0.06723081509029372,0.539794921875,-1.5,sigmoid
naive,512,8,352,4.150367259979248,5.225205760254218,-1.0748385002749696,1.0748385002749696,0.20570261719658603,1.1552778016733458,0.525634765625,-1.5,sigmoid
prox,512,8,352,5.156009674072266,5.225205760254218,-0.06919608618195205,0.06919608618195205,0.013242748583853952,0.004788098342900136,0.525634765625,-1.5,sigmoid
ipw,512,8,352,4.09794282913208,5.225205760254218,-1.1272629311221376,1.1272629311221376,0.21573560599215405,1.2707217158820732,0.525634765625,-1.5,sigmoid
impute,512,8,352,2.7679920196533203,5.225205760254218,-2.4572137406008974,2.4572137406008974,0.4702616228612112,6.037899366997854,0.525634765625,-1.5,sigmoid
scope,512,8,352,3.9445681577201857,5.225205760254218,-1.280637602534032,1.280637602534032,0.2450884541763435,1.6400326690241134,0.525634765625,-1.5,sigmoid
naive,512,8,353,4.241668701171875,5.230413190710399,-0.988744489538524,0.988744489538524,0.1890375489444328,0.9776156655927964,0.556640625,-1.5,sigmoid
prox,512,8,353,5.233399391174316,5.230413190710399,0.002986200463917399,0.002986200463917399,0.0005709301263657548,8.917393210700489e-06,0.556640625,-1.5,sigmoid
ipw,512,8,353,4.055431842803955,5.230413190710399,-1.174981347906444,1.174981347906444,0.22464407783180454,1.3805811679280438,0.556640625,-1.5,sigmoid
impute,512,8,353,2.8359014987945557,5.230413190710399,-2.3945116919158433,2.3945116919158433,0.45780545524943866,5.733686242721674,0.556640625,-1.5,sigmoid
