method,n,T,mnar_c0,reward_type,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
prox,512,8,-0.7,linear,3.4255637454986574,2.877869692956766,0.5476940525418909,0.5476940525418909,0.19038970272312422,0.36319808002049425,0.252511394134589,50,0.559619140625
prox,512,8,-0.7,sigmoid,4.8877144718170165,4.894606896604784,-0.006892424787767268,0.0936667905741087,0.019136508664212182,0.0136734160274649,0.11754606738234989,50,0.3722216796875
prox,512,8,0.3,linear,2.7664843559265138,2.353462412197858,0.4130219437286554,0.42203568393586394,0.17947025455251026,0.23515240899435327,0.25390848986972653,50,0.4307080078125
prox,512,8,0.3,sigmoid,4.519804468154907,4.479611629645282,0.04019283850962534,0.10978352654550122,0.024519890715106896,0.01846820133581236,0.1316671012850378,50,0.2008740234375
scope,512,8,-2.8,linear,2.6286006455183712,3.428956716422253,-0.8003560709038815,0.8383617002864486,0.24456828665055422,0.8290020276758737,0.4398540527973446,50,0.8275830078125
scope,512,8,-2.8,sigmoid,2.5056565439466154,5.580757308998427,-3.0751007650518125,3.0751007650518125,0.5510303980421264,9.621352040378484,0.41136385186256746,50,0.7816748046875
scope,512,8,-1.5,linear,4.679257506635696,3.1790299039886953,1.5002276026470012,1.5002276026470012,0.47194643097073813,2.580549827440849,0.5803860178055981,50,0.665458984375
scope,512,8,-1.5,sigmoid,4.274112571857001,5.227582534845942,-0.9534699629889406,0.9556460532777806,0.1828297011428221,1.117423572328885,0.4623731803682415,50,0.5373828125
scope,512,8,-0.7,linear,5.4228926050226285,2.877869692956766,2.545022912065863,2.545022912065863,0.8842924628813111,6.880308859981576,0.6429834393536342,50,0.559619140625
scope,512,8,-0.7,sigmoid,4.6522271213201245,4.894606896604784,-0.24237977528465998,0.4840230983257858,0.09892526908928692,0.3570736087291818,0.5518784369228026,50,0.3722216796875
scope,512,8,0.3,linear,5.2260815204801645,2.353462412197858,2.8726191082823065,2.8726191082823065,1.2205774320837681,8.698854606101268,0.6767994950877717,50,0.4307080078125
scope,512,8,0.3,sigmoid,4.4979347192550545,4.479611629645282,0.018323089609772598,0.3835604017772073,0.08565171185983136,0.277524067334644,0.530680009258974,50,0.2008740234375
