method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
scope,1024,8,340,4.9556237162723304,4.903614275426956,0.0520094408453744,0.0520094408453744,0.010606348281920268,0.002704981937048499,0.369140625,-0.7
naive,1024,8,341,4.155827522277832,4.914498239040748,-0.7586707167629161,0.7586707167629161,0.1543739930021828,0.5755812564735568,0.36328125,-0.7
prox,1024,8,341,4.922635555267334,4.914498239040748,0.008137316226585867,0.008137316226585867,0.0016557776258709525,6.621591537145764e-05,0.36328125,-0.7
ipw,1024,8,341,4.211709499359131,4.914498239040748,-0.7027887396816173,0.7027887396816173,0.14300315220354892,0.493912012623276,0.36328125,-0.7
impute,1024,8,341,-0.48700451850891113,4.914498239040748,-5.401502757549659,5.401502757549659,1.0990954711592222,29.176232039816572,0.36328125,-0.7
scope,1024,8,341,4.352848377922837,4.914498239040748,-0.5616498611179113,0.5616498611179113,0.11428427355129923,0.315450566493769,0.36328125,-0.7
naive,1024,8,342,4.112305641174316,4.887480452387528,-0.775174811213212,0.775174811213212,0.15860417627543452,0.6008959879394388,0.364013671875,-0.7
prox,1024,8,342,4.949188709259033,4.887480452387528,0.06170825687150483,0.06170825687150483,0.012625780803145805,0.003807908966119623,0.364013671875,-0.7
ipw,1024,8,342,4.288324356079102,4.887480452387528,-0.5991560963084268,0.5991560963084268,0.12258997292065685,0.3589880277435528,0.364013671875,-0.7
impute,1024,8,342,-2.9722399711608887,4.887480452387528,-7.859720423548417,7.859720423548417,1.6081333726273939,61.775205136344105,0.364013671875,-0.7
scope,1024,8,342,4.989701480775036,4.887480452387528,0.10222102838750757,0.10222102838750757,0.02091487206615276,0.010449138644599629,0.364013671875,-0.7
naive,1024,8,343,4.114439487457275,4.890601381500448,-0.7761618940431729,0.7761618940431729,0.15870479589261569,0.6024272857646856,0.385498046875,-0.7
prox,1024,8,343,4.927884578704834,4.890601381500448,0.037283197204385665,0.037283197204385665,0.007623438161493973,0.001390036793781111,0.385498046875,-0.7
