method,n,T,mnar_c0,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
naive,512,2,-1.5,1.0914858317375182,1.111017905046721,-0.019532073309202605,0.03075920585086798,0.02768892879113446,0.0014681673837057463,0.033632135964105456,50,0.55197265625
naive,512,2,-0.7,1.0873046565055846,1.1021839438826,-0.014879287377015276,0.025251110929085073,0.022911383841438905,0.0010307571788705427,0.0290684816476649,50,0.3878515625
naive,512,2,0.3,1.0824900794029235,1.0907362933878217,-0.008246213984898053,0.02316100936371961,0.02123409887808855,0.0008639315371598074,0.028801754236909685,50,0.21466796875
naive,512,4,-2.8,2.153830835819244,2.46301697814172,-0.30918614232247577,0.30918614232247577,0.1255267407404123,0.10252774100325338,0.08383025376613677,50,0.7873046875
naive,512,4,-1.5,2.1643411684036256,2.3829341202736924,-0.2185929518700668,0.2185929518700668,0.09173017953991042,0.05251103211663142,0.06934310660835143,50,0.547685546875
naive,512,4,-0.7,2.150763249397278,2.311949783292134,-0.16118653389485604,0.16118653389485604,0.0697202109755521,0.03000129151625984,0.06427339789548694,50,0.38216796875
naive,512,4,0.3,2.136344428062439,2.2225053262119188,-0.08616089814947969,0.0919073626136449,0.04135609796137884,0.011337371612957892,0.06367222945704595,50,0.21005859375
naive,512,8,-2.8,4.077203273773193,5.580757308998427,-1.5035540352252343,1.5035540352252343,0.26939703023022427,2.302431646171931,0.20336344983856927,50,0.7816748046875
naive,512,8,-1.5,4.168537607192993,5.227582534845942,-1.0590449276529488,1.0590449276529488,0.20258626024545504,1.1473543434647497,0.16213407840588973,50,0.5373828125
naive,512,8,-0.7,4.106333885192871,4.894606896604784,-0.7882730114119127,0.7882730114119127,0.161048450815262,0.6434063603570306,0.15004928117911343,50,0.3722216796875
naive,512,8,0.3,4.071629939079284,4.479611629645282,-0.4079816905659972,0.4079816905659972,0.09107897164587211,0.1876574201603862,0.14801170589475732,50,0.2008740234375
naive,512,16,-2.8,8.347886724472046,12.635264077408078,-4.287377352936031,4.287377352936031,0.33933023742187474,19.489533676679784,1.0651433421176277,50,0.77439697265625
naive,512,16,-1.5,7.967072534561157,11.701751202429017,-3.7346786678678607,3.7346786678678607,0.319126077978811,14.33325088401864,0.6207000275949137,50,0.5231591796875
naive,512,16,-0.7,7.628864412307739,10.571694652602527,-2.942830240294789,2.942830240294789,0.27832829480279986,8.854390017678906,0.4351979418920931,50,0.35665283203125
naive,512,16,0.3,7.640233030319214,9.028339344350616,-1.3881063140314014,1.3881063140314014,0.15374137452601708,2.0561008312564835,0.3629442085771562,50,0.18800537109375
naive,512,32,-2.8,22.819673290252684,27.582352213879027,-4.762678923626343,5.7661971955616265,0.2091084152595602,52.59797197712218,5.5335677827000795,50,0.76359375
naive,512,32,-1.5,9.109615457057952,25.99763986932104,-16.888024412263093,16.888024412263093,0.6496371365917082,314.1653792589252,5.440918101196805,50,0.5024365234375
naive,512,32,-0.7,9.963342649936676,23.126960636833623,-13.163617986896945,13.163617986896945,0.5692782786446504,197.01890880312897,4.9313983857636785,50,0.334404296875
naive,512,32,0.3,15.146066884994507,18.254490058448173,-3.1084231734536663,4.7988500608095865,0.26311070001370257,39.29278099166601,5.5002393099971805,50,0.17142333984375
prox,512,2,-2.8,1.1152737975120544,1.1194891740359736,-0.0042153765239192256,0.03179460706194197,0.02839954436811248,0.0016113993457595203,0.040610328408769665,50,0.789921875
prox,512,2,-1.5,1.1007911705970763,1.111017905046721,-0.010226734449644498,0.02684947237971609,0.024167038397587853,0.001034431152726339,0.031233146491725174,50,0.55197265625
prox,512,2,-0.7,1.0946908402442932,1.1021839438826,-0.00749310363830678,0.021591317411853897,0.01959038766209215,0.0007067355321586593,0.02621856420040211,50,0.3878515625
prox,512,2,0.3,1.0899628233909606,1.0907362933878217,-0.0007734699968609427,0.02326854498542178,0.021331486300315405,0.0007666584416789057,0.028236964095719772,50,0.21466796875
prox,512,4,-2.8,2.444825806617737,2.46301697814172,-0.018191171523983307,0.05428871517809696,0.022039536986603242,0.004037911048308362,0.061588652603778445,50,0.7873046875
prox,512,4,-1.5,2.3665838193893434,2.3829341202736924,-0.016350300884349026,0.04682147724937476,0.019650287692679944,0.0033406518619419918,0.05565625059402061,50,0.547685546875
prox,512,4,-0.7,2.303553318977356,2.311949783292134,-0.008396464314777932,0.044975887449571476,0.019458161498263116,0.0031262012371005604,0.05608900215889502,50,0.38216796875
prox,512,4,0.3,2.230143642425537,2.2225053262119188,0.007638316213618452,0.04968832301654292,0.022359971433111477,0.0036608561606518582,0.060914321775507714,50,0.21005859375
prox,512,8,-2.8,5.515117645263672,5.580757308998427,-0.06563966373475566,0.10841911954925756,0.01943368272505881,0.017669490048621544,0.11857773274619862,50,0.7816748046875
prox,512,8,-1.5,5.1899608135223385,5.227582534845942,-0.037621721323603106,0.08956250899523395,0.01713428928373943,0.011439268348472878,0.10310216525977169,50,0.5373828125
prox,512,8,-0.7,4.8871839427948,4.894606896604784,-0.007422953809984065,0.09164051875404035,0.01872246871460205,0.012871897644398944,0.11393283241480606,50,0.3722216796875
prox,512,8,0.3,4.51791130065918,4.479611629645282,0.0382996710138978,0.10767236839570327,0.024049216423475208,0.018031865141863213,0.13022018493648505,50,0.2008740234375
prox,512,16,-2.8,12.296512947082519,12.635264077408078,-0.3387511303255576,0.3507062198073656,0.027752394367237546,0.1736138742852723,0.24303145101219073,50,0.77439697265625
prox,512,16,-1.5,11.496517486572266,11.701751202429017,-0.20523371585675235,0.2442202013374589,0.020866953678709263,0.08409716327601414,0.20435973919530245,50,0.5231591796875
prox,512,16,-0.7,10.514819622039795,10.571694652602527,-0.05687503056273353,0.20227007628856686,0.019134964575378652,0.05788786071615657,0.23530065326714233,50,0.35665283203125
prox,512,16,0.3,9.060496730804443,9.028339344350616,0.03215738645382789,0.2384893059350802,0.02643489703397235,0.09281868765572154,0.2995933019972146,50,0.18800537109375
prox,512,32,-2.8,25.19273426055908,27.582352213879027,-2.389617953319946,2.389617953319946,0.08663719804996767,6.0780189786861705,0.6153667347630866,50,0.76359375
prox,512,32,-1.5,24.260016479492187,25.99763986932104,-1.737623389828856,1.737623389828856,0.06683731826978839,3.264568360833893,0.501599954301864,50,0.5024365234375
prox,512,32,-0.7,22.055107765197754,23.126960636833623,-1.0718528716358677,1.0718528716358677,0.046327512439971824,1.4514730104400535,0.5411865827565548,50,0.334404296875
prox,512,32,0.3,17.77543577194214,18.254490058448173,-0.4790542865060342,0.724584764058396,0.039715399318526884,0.9586171726703872,0.8805233811982448,50,0.17142333984375
