method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
impute,512,4,350,1.995192050933838,2.3774851054368455,-0.38229305450300766,0.38229305450300766,0.16079724479820204,0.1461479795212396,0.5400390625,-1.5
scope,512,4,350,1.7100473229250708,2.3774851054368455,-0.6674377825117748,0.6674377825117748,0.28073268723554756,0.44547319352423514,0.5400390625,-1.5
naive,512,4,351,2.138209104537964,2.373855557033331,-0.23564645249536698,0.23564645249536698,0.09926739299583184,0.05552925057365125,0.55078125,-1.5
prox,512,4,351,2.3459255695343018,2.373855557033331,-0.027929987499029085,0.027929987499029085,0.01176566426557727,0.0007800842016959209,0.55078125,-1.5
ipw,512,4,351,2.1151747703552246,2.373855557033331,-0.25868078667810623,0.25868078667810623,0.1089707357769427,0.0669157493964039,0.55078125,-1.5
impute,512,4,351,1.7178113460540771,2.373855557033331,-0.6560442109792537,0.6560442109792537,0.27636231237216863,0.43039400675939155,0.55078125,-1.5
scope,512,4,351,2.0989895063751662,2.373855557033331,-0.2748660506581646,0.2748660506581646,0.11578886922744022,0.0755513458044167,0.55078125,-1.5
naive,512,4,352,2.1647870540618896,2.387130947835838,-0.22234389377394814,0.22234389377394814,0.09314273017805082,0.049436807098560735,0.529296875,-1.5
prox,512,4,352,2.347191333770752,2.387130947835838,-0.03993961406508584,0.03993961406508584,0.01673122042227927,0.0015951727716680025,0.529296875,-1.5
ipw,512,4,352,2.1799204349517822,2.387130947835838,-0.20721051288405556,0.20721051288405556,0.08680316137324251,0.04293619664967336,0.529296875,-1.5
impute,512,4,352,1.8401654958724976,2.387130947835838,-0.5469654519633402,0.5469654519633402,0.22913089558795116,0.29917120564146105,0.529296875,-1.5
scope,512,4,352,1.9650076661565536,2.387130947835838,-0.42212328167928415,0.42212328167928415,0.17683289727443702,0.17818806493568826,0.529296875,-1.5
naive,512,4,353,2.182563304901123,2.3790951148643664,-0.19653180996324338,0.19653180996324338,0.08260779854295475,0.03862475232742841,0.5498046875,-1.5
prox,512,4,353,2.377321481704712,2.3790951148643664,-0.0017736331596545085,0.0017736331596545085,0.0007455074614600368,3.1457745850260353e-06,0.5498046875,-1.5
ipw,512,4,353,2.154310703277588,2.3790951148643664,-0.22478441158677853,0.22478441158677853,0.09448315461720984,0.05052803169241425,0.5498046875,-1.5
impute,512,4,353,1.7795103788375854,2.3790951148643664,-0.599584736026781,0.599584736026781,0.252022179475142,0.3595018556763046,0.5498046875,-1.5
scope,512,4,353,1.877513791834273,2.3790951148643664,-0.5015813230300934,0.5015813230300934,0.2108286129025526,0.2515838236126189,0.5498046875,-1.5
naive,512,4,354,2.103381872177124,2.37950536595475,-0.276123493777626,0.276123493777626,0.11604239172069887,0.07624418381596268,0.55859375,-1.5
prox,512,4,354,2.2954297065734863,2.37950536595475,-0.08407565938126371,0.08407565938126371,0.03533325059241011,0.007068716500394276,0.55859375,-1.5
ipw,512,4,354,2.1423559188842773,2.37950536595475,-0.2371494470704727,0.2371494470704727,0.0996633377942895,0.05623986024583093,0.55859375,-1.5
impute,512,4,354,1.8557181358337402,2.37950536595475,-0.5237872301210098,0.5237872301210098,0.2201244164502424,0.2743530624378397,0.55859375,-1.5
scope,512,4,354,1.8463902793755707,2.37950536595475,-0.5331150865791794,0.5331150865791794,0.2240444985780786,0.2842116955383259,0.55859375,-1.5
naive,512,4,355,2.317011594772339,2.388539391830726,-0.07152779705838697,0.07152779705838697,0.029946249705165462,0.005116225752025791,0.53564453125,-1.5
prox,512,4,355,2.4625303745269775,2.388539391830726,0.0739909826962517,0.0739909826962517,0.03097750154312523,0.00547466552035702,0.53564453125,-1.5
ipw,512,4,355,2.0984902381896973,2.388539391830726,-0.29004915364102857,0.29004915364102857,0.12143369066177166,0.084128511527877,0.53564453125,-1.5
impute,512,4,355,2.1610283851623535,2.388539391830726,-0.22751100666837232,0.22751100666837232,0.09525110092238992,0.05176125815525615,0.53564453125,-1.5
scope,512,4,355,1.8903370985010832,2.388539391830726,-0.4982022933296426,0.4982022933296426,0.20858031273572142,0.24820552507891525,0.53564453125,-1.5
naive,512,4,356,2.1849496364593506,2.3851691216946427,-0.2002194852352921,0.2002194852352921,0.08394351721819954,0.04008784226788535,0.54638671875,-1.5
prox,512,4,356,2.3833184242248535,2.3851691216946427,-0.0018506974697891643,0.0018506974697891643,0.000775918761045447,3.4250811246840144e-06,0.54638671875,-1.5
ipw,512,4,356,2.2430336475372314,2.3851691216946427,-0.14213547415741123,0.14213547415741123,0.05959136099180471,0.020202493013952116,0.54638671875,-1.5
impute,512,4,356,2.672781467437744,2.3851691216946427,0.28761234574310146,0.28761234574310146,0.12058362785560267,0.08272086142384934,0.54638671875,-1.5
scope,512,4,356,1.8992177763877074,2.3851691216946427,-0.4859513453069353,0.4859513453069353,0.20373873738633297,0.23614871000562027,0.54638671875,-1.5
naive,512,4,357,2.1072731018066406,2.379001262487235,-0.2717281606805946,0.2717281606805946,0.11421942685162932,0.07383619330685902,0.55078125,-1.5
prox,512,4,357,2.2659425735473633,2.379001262487235,-0.11305868893987192,0.11305868893987192,0.04752359350228741,0.012782267144802717,0.55078125,-1.5
ipw,512,4,357,2.0994224548339844,2.379001262487235,-0.2795788076532508,0.2795788076532508,0.11751940281063677,0.07816430968881342,0.55078125,-1.5
impute,512,4,357,1.8358685970306396,2.379001262487235,-0.5431326654565956,0.5431326654565956,0.22830280673695513,0.29499309228598614,0.55078125,-1.5
scope,512,4,357,1.8368225440502375,2.379001262487235,-0.5421787184369977,0.5421787184369977,0.2279018203925425,0.2939577627259852,0.55078125,-1.5
naive,512,4,358,2.2215933799743652,2.383433975689461,-0.16184059571509568,0.16184059571509568,0.06790227770764228,0.026192378421417046,0.52783203125,-1.5
prox,512,4,358,2.4356143474578857,2.383433975689461,0.05218037176842483,0.05218037176842483,0.021892937795069612,0.0027227911978910265,0.52783203125,-1.5
ipw,512,4,358,2.242095708847046,2.383433975689461,-0.14133826684241502,0.14133826684241502,0.05930026519888381,0.019976505674017712,0.52783203125,-1.5
impute,512,4,358,1.7798054218292236,2.383433975689461,-0.6036285538602373,0.6036285538602373,0.2532600273458905,0.36436743103540137,0.52783203125,-1.5
scope,512,4,358,1.72785651083349,2.383433975689461,-0.6555774648559709,0.6555774648559709,0.27505585283365386,0.42978181242698177,0.52783203125,-1.5
naive,512,4,359,2.257946729660034,2.3845373770663625,-0.1265906474063283,0.1265906474063283,0.05308813718913882,0.016025192010753336,0.53662109375,-1.5
prox,512,4,359,2.4237310886383057,2.3845373770663625,0.03919371157194318,0.03919371157194318,0.01643661028293976,0.0015361470267846726,0.53662109375,-1.5
ipw,512,4,359,2.7824411392211914,2.3845373770663625,0.3979037621548289,0.3979037621548289,0.16686832673780946,0.15832740393696668,0.53662109375,-1.5
impute,512,4,359,1.9704582691192627,2.3845373770663625,-0.4140791079470998,0.4140791079470998,0.1736517581689288,0.17146150763826593,0.53662109375,-1.5
scope,512,4,359,1.692381569741098,2.3845373770663625,-0.6921558073252645,0.6921558073252645,0.29026838244691583,0.47907966161408866,0.53662109375,-1.5
naive,512,4,360,2.1302647590637207,2.3834383704621125,-0.2531736113983918,0.2531736113983918,0.10622200873157264,0.06409687750850389,0.56689453125,-1.5
prox,512,4,360,2.3473143577575684,2.3834383704621125,-0.03612401270454413,0.03612401270454413,0.015156260448026702,0.0013049442938780655,0.56689453125,-1.5
ipw,512,4,360,1.5098838806152344,2.3834383704621125,-0.8735544898468781,0.8735544898468781,0.3665102067134671,0.7630974467316395,0.56689453125,-1.5
impute,512,4,360,1.8684921264648438,2.3834383704621125,-0.5149462439972687,0.5149462439972687,0.21605183938422057,0.26516963420689466,0.56689453125,-1.5
scope,512,4,360,1.692838347956673,2.3834383704621125,-0.6906000225054394,0.6906000225054394,0.2897494775044435,0.4769283910845134,0.56689453125,-1.5
naive,512,4,361,2.170928955078125,2.3858393994841296,-0.2149104444060046,0.2149104444060046,0.09007749828109675,0.046186499114786395,0.53759765625,-1.5
prox,512,4,361,2.3701133728027344,2.3858393994841296,-0.015726026681395222,0.015726026681395222,0.0065914020385427164,0.00024730791518395444,0.53759765625,-1.5
