method,n,T,mnar_c0,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
ipw,256,8,-2.8,3.923128821849823,5.580757308998427,-1.6576284871486047,1.6596689396251785,0.29737252148659726,3.2042815255168655,0.6817311765225877,50,0.7824609375
ipw,256,8,-1.5,4.141250824928283,5.227582534845942,-1.0863317099176582,1.105513373594077,0.21149400339321794,1.3561011885979166,0.4250485028188539,50,0.540625
ipw,256,8,-0.7,4.10945219039917,4.894606896604784,-0.7851547062056139,0.8026718365976535,0.16400462728275733,0.762037440087452,0.3860485656746992,50,0.37474609375
ipw,256,8,0.3,4.073951706886292,4.479611629645282,-0.4056599227589903,0.4485174927050602,0.100181460954772,0.2978335614648619,0.3715516003216096,50,0.20234375
ipw,512,8,-2.8,4.373130283355713,5.580757308998427,-1.2076270256427146,1.7400200392423626,0.3117433083432135,4.262411866766113,1.6893263155500873,50,0.7816748046875
ipw,512,8,-1.5,4.2137626302242275,5.227582534845942,-1.013819904621714,1.1841941172479284,0.22653441306413913,1.723548249165198,0.8435434947184474,50,0.5373828125
ipw,512,8,-0.7,4.102411276102066,4.894606896604784,-0.7921956205027177,0.8702991447866186,0.17782874079584648,1.0609870385473064,0.6647337764699562,50,0.3722216796875
ipw,512,8,0.3,4.086031522750854,4.479611629645282,-0.39358010689442735,0.43813059836362184,0.09781298406764756,0.29918433588956683,0.3860176744010558,50,0.2008740234375
ipw,1024,8,-2.8,4.08150902569294,5.580757308998427,-1.4992482833054879,1.4992482833054879,0.26867534253848224,2.5925804938789607,0.5947984877339654,50,0.78260986328125
ipw,1024,8,-1.5,3.9280272102355958,5.227582534845942,-1.2995553246103464,1.330697145317121,0.25453644983699864,5.00616374119328,1.8395694777920941,50,0.5379248046875
ipw,1024,8,-0.7,4.171879940032959,4.894606896604784,-0.7227269565718248,0.8195526562344311,0.16743070580347902,0.7592576605135019,0.49308792510016297,50,0.3726123046875
ipw,1024,8,0.3,4.01990954875946,4.479611629645282,-0.45970208088582143,0.45970208088582143,0.10262776996359112,0.3195000696498927,0.33282915076556163,50,0.20078369140625
ipw,2048,8,-2.8,4.258415026664734,5.580757308998427,-1.3223422823336939,1.442478242682931,0.2584659773429399,2.230376288576864,0.7014679932350238,50,0.78329833984375
ipw,2048,8,-1.5,4.13328911781311,5.227582534845942,-1.0942934170328318,1.3883274518902957,0.265539045637108,4.270344272894979,1.7689592760367114,50,0.53840576171875
ipw,2048,8,-0.7,4.161155414581299,4.894606896604784,-0.733451482023485,0.7767496560074174,0.1586993310445305,0.6153846170054402,0.2804218580235417,50,0.372891845703125
ipw,2048,8,0.3,4.08563262462616,4.479611629645282,-0.3939790050191222,0.39707040770644236,0.08865368871192719,0.17798017463976507,0.1545438022347812,50,0.2002197265625
naive,64,8,-2.8,4.871996561686198,5.580757308998427,-0.7058852985291239,0.8653694703394109,0.15517681267506003,1.1513778445759804,0.9931917389217308,50,0.7871484375
naive,64,8,-1.5,3.871308889389038,5.227582534845942,-1.356273645456904,1.356273645456904,0.25945978472985276,2.0839862792347357,0.5003436813819484,50,0.5434375
naive,64,8,-0.7,3.9030886363983153,4.894606896604784,-0.9915182602064684,0.9966434646583687,0.20362506192311208,1.1383368889197767,0.3984384855517087,50,0.3776171875
naive,64,8,0.3,3.9483619260787965,4.479611629645282,-0.5312497035664855,0.5563409005865264,0.12420810647257104,0.40725989897813897,0.35897775135475984,50,0.20359375
naive,128,8,-2.8,3.8355282831192015,5.580757308998427,-1.745229025879226,1.745229025879226,0.31270373628456655,3.322894261728864,0.5306240401683776,50,0.78349609375
naive,128,8,-1.5,3.921371283531189,5.227582534845942,-1.306211251314753,1.306211251314753,0.24988054333234755,1.839656154562309,0.3699895619240598,50,0.54154296875
naive,128,8,-0.7,4.044899024963379,4.894606896604784,-0.8497078716414049,0.8497078716414049,0.17362516068605893,0.8137019767474492,0.30795031870091916,50,0.37630859375
naive,128,8,0.3,4.056475076675415,4.479611629645282,-0.4231365529698668,0.43363078600877714,0.09682536634189454,0.27191405016370856,0.3097766954171412,50,0.20248046875
naive,256,8,-2.8,3.884579229354858,5.580757308998427,-1.6961780796435693,1.6961780796435693,0.3039203639381382,2.9907105008146546,0.3394589140106683,50,0.7824609375
naive,256,8,-1.5,4.113970103263855,5.227582534845942,-1.113612431582087,1.113612431582087,0.21303664793083,1.3096868372794146,0.2676246323155007,50,0.540625
naive,256,8,-0.7,4.12046293258667,4.894606896604784,-0.7741439640181139,0.7741439640181139,0.1581875991736345,0.6545410985135834,0.24013649135260218,50,0.37474609375
naive,256,8,0.3,4.060661730766296,4.479611629645282,-0.4189498988789855,0.42078944617269853,0.09396586008730906,0.22320977715998983,0.22382350264161505,50,0.20234375
naive,512,8,-2.8,4.0852182722091674,5.580757308998427,-1.4955390367892603,1.4955390367892603,0.2679618798267625,2.28266881343818,0.21397217688036999,50,0.7816748046875
naive,512,8,-1.5,4.17329400062561,5.227582534845942,-1.0542885342203316,1.0542885342203316,0.20167579879300998,1.1372825716508264,0.16197079036460463,50,0.5373828125
naive,512,8,-0.7,4.111057615280151,4.894606896604784,-0.7835492813246324,0.7835492813246324,0.16008138734791177,0.6378844590076782,0.15607845425617417,50,0.3722216796875
naive,512,8,0.3,4.071199789047241,4.479611629645282,-0.40841184059804064,0.40841184059804064,0.09117452156962087,0.18755878885199362,0.14638629802794093,50,0.2008740234375
naive,1024,8,-2.8,4.202270445823669,5.580757308998427,-1.3784868631747582,1.3784868631747582,0.24700178369059964,1.9121215375760137,0.10887391137415284,50,0.78260986328125
naive,1024,8,-1.5,4.128443598747253,5.227582534845942,-1.0991389360986885,1.0991389360986885,0.21025683135095075,1.2181631384471132,0.10144527326506338,50,0.5379248046875
naive,1024,8,-0.7,4.093662190437317,4.894606896604784,-0.8009447061674669,0.8009447061674669,0.16364227022830768,0.6505155196242818,0.09725296289728162,50,0.3726123046875
naive,1024,8,0.3,4.077672262191772,4.479611629645282,-0.4019393674535094,0.4019393674535094,0.0897303294175199,0.17179417911480713,0.1035476547773646,50,0.20078369140625
naive,2048,8,-2.8,4.160968308448791,5.580757308998427,-1.419789000549636,1.419789000549636,0.25440901694387025,2.0259761347208927,0.10249568292406278,50,0.78329833984375
naive,2048,8,-1.5,4.097355437278748,5.227582534845942,-1.1302270975671944,1.1302270975671944,0.2161985210979841,1.2815187933341852,0.06264938949917977,50,0.53840576171875
naive,2048,8,-0.7,4.093952145576477,4.894606896604784,-0.8006547510283067,0.8006547510283067,0.16358723722806814,0.6489893881329558,0.09263224870927625,50,0.372891845703125
naive,2048,8,0.3,4.075709962844849,4.479611629645282,-0.4039016668004332,0.4039016668004332,0.09017535584846594,0.16820851310544413,0.07574166485601612,50,0.2002197265625
prox,64,8,-2.8,5.489790283903783,5.580757308998427,-0.09088173453011313,0.2670899761556588,0.0478645451671889,0.12083493564941919,0.33994494408414694,50,0.7871484375
prox,64,8,-1.5,5.105518760681153,5.227582534845942,-0.12206377416478963,0.2671368006177477,0.05109633231611428,0.11737473104797268,0.3245521987748412,50,0.5434375
prox,64,8,-0.7,4.784023113250733,4.894606896604784,-0.11058378335405145,0.2648667230260313,0.05411081438385492,0.11386609889614052,0.3229192051907004,50,0.3776171875
prox,64,8,0.3,4.434810452461242,4.479611629645282,-0.04480117718403921,0.26771702759456145,0.0597657551922323,0.1216101497464385,0.35121512282608824,50,0.20359375
prox,128,8,-2.8,5.524386129379272,5.580757308998427,-0.056371179619155075,0.1834347598630276,0.03287695001420605,0.05548273672649011,0.23373320243493764,50,0.78349609375
prox,128,8,-1.5,5.167320470809937,5.227582534845942,-0.06026206403600545,0.19730268581142993,0.03774655574302092,0.05867308311058851,0.2395347723946277,50,0.54154296875
prox,128,8,-0.7,4.853290557861328,4.894606896604784,-0.04131633874345574,0.19657352243347526,0.040170449647482454,0.05931966873204818,0.24511903238636068,50,0.37630859375
prox,128,8,0.3,4.480399851799011,4.479611629645282,0.0007882221537293433,0.2196182465723885,0.049043206445276225,0.0682954334426802,0.2664719438545082,50,0.20248046875
prox,256,8,-2.8,5.518467502593994,5.580757308998427,-0.06228980640443339,0.1623554966528932,0.029106867727174367,0.039938562577047795,0.19582432835482463,50,0.7824609375
prox,256,8,-1.5,5.180170841217041,5.227582534845942,-0.04741169362890096,0.14436229865658168,0.027623141077860652,0.03207918588758389,0.17839581037062707,50,0.540625
prox,256,8,-0.7,4.883141117095947,4.894606896604784,-0.011465779508836604,0.14998693833177942,0.030640471041291067,0.034061405825288535,0.18938622091083374,50,0.37474609375
prox,256,8,0.3,4.507289161682129,4.479611629645282,0.02767753203684702,0.1614169755423283,0.03603621876001074,0.040804844507204605,0.2053730563353625,50,0.20234375
